FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species
9eb9acee9f8012d509191f395cd33680,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,NA,NA,NA
da821e0a5e2bb6359d37fc6ddafd82c1,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,NA
30d3ed513d2487ebacec1d3806b5ccae,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Lawsonella,NA
84b87a5527ad7573a01f9a340b45b8b2,Bacteria,Actinomycetota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,NA
ed995199585e2404bfe5f588a06291fc,Bacteria,Actinomycetota,Actinobacteria,Actinomycetales,Actinomycetaceae,Schaalia,NA
a6eadb2d1940643ea760afffa030334d,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,NA
6e37ae39569a812f7c984ba534ac91de,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,NA
5a64a6f1f4e7afd3bbbf171c5c35b46f,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,NA,NA
f8bb29a5251534049b2e1c111bc39f14,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Psittacicella,NA
c51976b33e301cd0c39ff6780038cb3d,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
00b629e3b3acc8ca9d9839c41326c6e7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,NA
13b2a473a55c51abc0b42dce9ecb578e,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
7333e261c60fccfd1cc66224d4914029,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,NA
0c9e3ed50197a5f104e61cd0520fbb29,Bacteria,NA,NA,NA,NA,NA,NA
adc4c72e3b695adcbeb1d03eb1f48da5,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Fusibacteraceae,Fusibacter,NA
5d53bfb2037f7206f04684269c8aef31,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA
da6b37f3a4a6331d6ee5af6f86f9df0a,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
1458f1e7144a7686e3d054d148cb3855,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylobacterium,NA
98fcf59486d130abe9a9055704400056,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,NA
9ccfad1833dbe06085dda16682bdb9ef,Bacteria,Bacillota,Clostridia,NA,NA,NA,NA
816bc6359bb36d4bd2ac7c129451f617,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Mageeibacillus,NA
d74cd6582859d0be37e097cbfddc31d1,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,NA
4ce32c4ee3d941f584c8b7a108fe68db,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005,NA
ca53da738ef5a0dbe50fe54061231539,Bacteria,Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,NA,NA
a50e8f12c186085277959f55303ef905,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,NA
efb1124a7b972fc805d2cdd072bb7a09,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Incertae_Sedis,NA
5147978826a18675c0ec7b677e21a6b7,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Fournierella,NA
0775e59cd173135c46460efc24f0c35a,Bacteria,Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA
9265d5145416b3be7b9362ccc8e3dece,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Caecibacterium,NA
af35970d0e82e7e56bc4c9a97b1aa275,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA
acc07901cb94b7ff01d72de31d9c9e9b,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,NA
5bd5c3944af33f3c41fe9dd472376f6a,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_UCG-010,NA
cafeeea8a015957c63e8db16e70ed374,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
03d08b31a3d27b70b8d57b623e6fda2f,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Incertae_Sedis,NA
6857d1b6598e3f4e0500dd981ec24bfd,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptoclostridium,NA
2e73689583c6009968e1d3c321a448f5,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus,NA
172051db4ee13abc3ac82deb1739a056,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Peptoniphilus,NA
e9165b84ab328cc9b6c9240b83c34296,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Parvimonas,NA
e616d0c9166d972025919a91afbfac62,Bacteria,Bacillota,Clostridia,Peptococcales,Peptococcaceae,Peptococcus,NA
04c4a458a5a1e0ab867bff0b2b936680,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Candidatus_Arthromitus,NA
bf0a5e99cb2470e070686ca4a5cd102d,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
da6858e27b2e7bb754853591e2b46704,Bacteria,Bacillota,Bacilli,Staphylococcales,Gemellaceae,Gemella,NA
463b2f0461c807f6f6a2ebd7bcff9c7a,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,NA
f52c8cce50655f4bc6b73387b9a7e1a5,Bacteria,Bacillota,Bacilli,Lactobacillales,Catellicoccaceae,Catellicoccus,NA
8ad1796f811039f7bae012f206c4d408,Bacteria,Bacillota,Bacilli,Lactobacillales,NA,NA,NA
8e450566af04da60335f56e9098b4eec,Bacteria,Bacillota,Bacilli,Mycoplasmatales,Mycoplasmataceae,NA,NA
c4abcba67bae771e7b6acab924c3a033,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Thomasclavelia,NA
b81519f9ff85d250b3ff11b93ec54bc8,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Incertae_Sedis,Incertae_Sedis,NA
977711915cab8af85bbf09f4af3954f1,Bacteria,Bacillota,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Megamonas,NA
e56b0756bf4106b0b7f14fa46e828c2a,Bacteria,Bacillota,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,NA,NA
eb04e82f5de40a4c6ab43c4b470e4cba,Bacteria,Bacillota,Negativicutes,Veillonellales-Selenomonadales,NA,NA,NA
6718eb07f4a1ded94863a63d5e19474e,Bacteria,Bacillota,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,NA
1683506dd97567bf85f5261af480556e,Bacteria,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,NA
0daf4b3d162fbc5fc14a1ca8f4d2c33b,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA
c3a9c5579756dc8a0872e12edba0ef72,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Incertae_Sedis,NA
5702680e7007498a309e6e376da0f72f,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Oceanivirga,NA
d27439ff64e05809b9e00cfa519cdcac,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,NA,NA
024cc2ba42a565cbc58e93e2c896bb5a,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,NA
